ID_CUAD;PRESENCE;BREEDING;FOREST;BROADLEAVED;ECOTONES;HUMANPOP;URBAN;RUG
16766;0;0;52.26;0.13;0.41;78.58;0.07;254.83
15920;0;0;50.82;0;0;145.55;0.05;249.33
16221;0;0;36.64;0.39;0;148.03;0.06;160.56
15072;0;0;15.99;0;0;679.86;0.05;32.63
15260;0;0;18.45;0.67;0;290.27;0.08;99.58
15398;0;0;25.27;0;0;133.62;0.08;113.57
16217;0;0;31.6;0.51;0;239.75;0.07;164.38
15357;0;0;15.27;0;0;550.37;0.06;56.93
15524;0;0;25.37;0.05;0;155.75;0.09;109.71
14844;0;0;13.22;1;0;376.89;0.08;51.89
14523;0;0;29.65;0.5;0;1442.72;0.02;29.75
15942;0;0;19.46;0.18;0;172.17;0.08;123.49
15235;0;0;17.6;1;0.55;340.55;0.1;71.66
15354;0;0;13.46;0.02;2.31;402.82;0.06;29.81
14531;0;0;32.75;0.24;0;249.89;0.09;63.44
16653;0;0;45.82;0.31;2.56;106.27;0.05;143.78
15634;0;0;26.93;1;0;504.65;0.05;139.05
15795;0;0;29.4;0;0.15;142.86;0.09;185.55
16349;0;0;49.36;0.13;1.59;104.34;0.05;262.36
15806;0;0;18.53;0;0;184.44;0.07;97.39
14385;0;0;26.1;0.21;0.35;1647.06;0.02;30.98
15530;0;0;24.57;0.97;0;158.31;0.09;104.26
16066;0;0;40.67;0.22;0;130.68;0.05;246.15
15956;0;0;22.89;0;1.07;134.55;0.07;97.43
14708;0;0;15.92;0;0;170.37;0.07;42.41
15087;0;0;17.06;0.44;0.73;219.65;0.12;65.27
16239;0;0;57.14;0.31;6.72;100.41;0.05;148.3
14528;0;0;36.02;0;3.86;520.2;0.04;44.41
16647;0;0;61.04;0.27;2.63;61.62;0.08;164.13
15815;0;0;22.03;0.22;0;199.96;0.08;100.33
14989;0;0;8.97;0;0;153.89;0.08;57.93
16057;0;0;50.68;0;0;153.06;0.04;253.18
15352;0;0;12.13;0;0.19;421.86;0.05;29
15273;0;0;6.43;0;0;136.79;0.07;27.94
15402;0;0;26.33;0.1;0.14;103.75;0.06;105.6
15631;0;0;17.02;0.53;0.63;332.34;0.06;77.62
16510;0;0;44.07;0.24;5.84;86.1;0.05;129.03
14521;0;0;34.06;0.14;0;1317.48;0.02;29.83
16342;0;0;38.12;0;0.39;133.37;0.05;189.3
16618;0;0;35.2;0;0.001597859;87.82;0.03;123.98
16367;0;0;44.67;0.37;0.64;96.03;0.09;143.23
14797;0;0;31.22;0;2.6;531.51;0.04;26.6
15083;0;0;14.73;0;0;340.93;0.08;38.02
16063;0;0;44.7;0.17;0.06;126.96;0.05;232.82
15812;0;0;23.93;0;0;237.58;0.1;93.13
15413;0;0;7.69;0;0;174.21;0.06;27.92
15546;0;0;42.42;0.22;0;81.27;0.06;118.4
14388;0;0;30.46;0.29;0.98;797.13;0.02;37.49
15395;0;0;27.4;0.2;0;123.41;0.08;110.36
14530;0;0;35.51;0.26;1.95;315.89;0.07;58.07
15388;0;0;21.26;0.82;0;123.72;0.07;93.18
15655;0;0;30.19;0.004276417;0;163.93;0.09;169.46
16622;0;0;34.12;0;4.57;160.37;0.06;160.25
14710;0;0;9.78;0;0.16;172.55;0.08;35.76
14851;0;0;7.74;0;0;195.65;0.08;35.79
16085;0;0;31.93;0.31;3.72;180.2;0.08;128.04
14809;0;0;26.65;0.12;0;232.06;0.12;64.33
15796;0;0;30.89;0.12;0.75;143.44;0.09;182.28
16504;0;0;61.57;0.14;1.81;44.65;0.07;173.56
16361;0;0;52.69;0.44;3.9;110.58;0.05;184.3
14390;0;0;35.49;0.12;3.54;417.58;0.05;46.25
14978;0;0;18.61;0.93;0;140.79;0.08;70.69
16616;0;0;42.83;0;13.4;84.93;0.03;180.27
16900;0;0;26.16;0.21;3.13;158.96;0.07;147.06
